scheme_name,benefits,level,category,tags,combined
Assistance for Purchase of Spectacles - Folk Artists,- Financial Assistance maximum of 500/- Note This assistance shall be given only on,State/ UT,"Sports Culture, Social welfare Empowerment","Artist,  Financial Assistance,  Spectacles","Assistance for Purchase of Spectacles - Folk Artists - Financial Assistance maximum of 500/- Note This assistance shall be given only on Sports Culture, Social welfare Empowerment Artist,  Financial Assistance,  Spectacles"
Marriage Assistance - Folk Artist,"- Financial Assistance of 2,000/",State/ UT,"Women and Child, Sports Culture, Social welfare Empowerment","Financial Assistance,  Folk Artist,  Marriage","Marriage Assistance - Folk Artist - Financial Assistance of 2,000/ Women and Child, Sports Culture, Social welfare Empowerment Financial Assistance,  Folk Artist,  Marriage"
Education Assistance - Folk Artist,"Financial Assistance for the children of registered folk artistes - Girl and Boy children studying 10th - 1,000/- - Girl children studying 11th - 1,000/- - Girl and Boy children studying 12th - 1,500/- - Regular Degree Course with Hostel facility - 3,250/- - Regular Post Graduate Course with Hostel facility - 5,000/- - Professional Degree Course with Hostel facility - 6,000/- - Professional PG Course with Hostel facility - 10,000/- - ITI or Polytechnic Course",State/ UT,"Education Learning, Sports Culture","Artist,  Financial Assistance,  Student","Education Assistance - Folk Artist Financial Assistance for the children of registered folk artistes - Girl and Boy children studying 10th - 1,000/- - Girl children studying 11th - 1,000/- - Girl and Boy children studying 12th - 1,500/- - Regular Degree Course with Hostel facility - 3,250/- - Regular Post Graduate Course with Hostel facility - 5,000/- - Professional Degree Course with Hostel facility - 6,000/- - Professional PG Course with Hostel facility - 10,000/- - ITI or Polytechnic Course Education Learning, Sports Culture Artist,  Financial Assistance,  Student"
Pension Scheme for the Journalists,"- Pension Amount of 4,000/- per mont",State/ UT,Social welfare Empowerment,"Financial Assistance,  Pension,  Retirement","Pension Scheme for the Journalists - Pension Amount of 4,000/- per mont Social welfare Empowerment Financial Assistance,  Pension,  Retirement"
"Outstanding SC/ST Entrepreneur under Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Industries - State Awards to Micro, Small and Medium Enterpri","Cash Award of 2,00,000/- and a Cita",State/ UT,"Business Entrepreneurship, Social welfare Empowerment","Business,  Entrepreneur,  Industry,  MSME,  Scheduled Caste,  Scheduled Tribe","Outstanding SC/ST Entrepreneur under Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Industries - State Awards to Micro, Small and Medium Enterpri Cash Award of 2,00,000/- and a Cita Business Entrepreneurship, Social welfare Empowerment Business,  Entrepreneur,  Industry,  MSME,  Scheduled Caste,  Scheduled Tribe"
West Bengal Textile Incentive Scheme Waiver of Fees for Land Conversion and Mutation,- 100 waiver of fees for conversion and mutation of the land as approved in the project.,State/ UT,Business Entrepreneurship,"Entrepreneurship,  Incentives,  Land Conversion,  Mutation,  Reimbursement,  Subsidy,  Textile,  Waiver","West Bengal Textile Incentive Scheme Waiver of Fees for Land Conversion and Mutation - 100 waiver of fees for conversion and mutation of the land as approved in the project. Business Entrepreneurship Entrepreneurship,  Incentives,  Land Conversion,  Mutation,  Reimbursement,  Subsidy,  Textile,  Waiver"
Incentives for Meritorious Children Students of Workers 10th and 12th Class HBOCWWB,"Under this scheme, the scholarship prize money in the form of a fixed deposit will be provided to meritorious children of construction workers who have achieved academic excellence in the Class X/XII examination as per the following Sl. No. Marks Obtained in 10th/12th Examination Amount 190 and above 51,000/-280 and above 41,000/-370 and above 31,000/-460 and",State/ UT,Education Learning,"Award,  Building Worker,  Construction Worker,  Incentive,  Meritorious Student,  Prize Money,  Scholarship","Incentives for Meritorious Children Students of Workers 10th and 12th Class HBOCWWB Under this scheme, the scholarship prize money in the form of a fixed deposit will be provided to meritorious children of construction workers who have achieved academic excellence in the Class X/XII examination as per the following Sl. No. Marks Obtained in 10th/12th Examination Amount 190 and above 51,000/-280 and above 41,000/-370 and above 31,000/-460 and Education Learning Award,  Building Worker,  Construction Worker,  Incentive,  Meritorious Student,  Prize Money,  Scholarship"
Medical Assistance/Wage Compensation during Illness HBOCWWB,"1. Under this scheme, wage compensation or financial assistance is provided to registered workers if they are admitted to any government or empanelled private hospital for treatment for a minimum of 4 days and a maximum of 30 days.",State/ UT,Social welfare Empowerment,"Building Worker,  Construction Worker,  Financial Assistance,  Illness,  Labour,  Wage Compensation","Medical Assistance/Wage Compensation during Illness HBOCWWB 1. Under this scheme, wage compensation or financial assistance is provided to registered workers if they are admitted to any government or empanelled private hospital for treatment for a minimum of 4 days and a maximum of 30 days. Social welfare Empowerment Building Worker,  Construction Worker,  Financial Assistance,  Illness,  Labour,  Wage Compensation"
Mukhyamantri Svadeshi Gau Samvardhan Yojana,"- Grants covering up to 40 of the total cost per unit maximum 80,000 , which includes purchasing cows, transportation, insurance, fodder cutting machine, and shed construction. Note 1 One unit means 02 cows of indigenous improved breed per beneficiary and the unit cost is considered to be approximately 2 lakhs. Note 2 The grant will be released directly into the bank account of the concerned beneficiary through DBT within a month by the State Program Management",State/ UT,"Agriculture,Rural Environment, Women and Child, Skills Employment","Cow,  Farmer,  Financial Assistance,  Milk Mission,  Production","Mukhyamantri Svadeshi Gau Samvardhan Yojana - Grants covering up to 40 of the total cost per unit maximum 80,000 , which includes purchasing cows, transportation, insurance, fodder cutting machine, and shed construction. Note 1 One unit means 02 cows of indigenous improved breed per beneficiary and the unit cost is considered to be approximately 2 lakhs. Note 2 The grant will be released directly into the bank account of the concerned beneficiary through DBT within a month by the State Program Management Agriculture,Rural Environment, Women and Child, Skills Employment Cow,  Farmer,  Financial Assistance,  Milk Mission,  Production"
West Bengal Artisans Financial Benefit Scheme Facilitation Supports,- Facilitation for enlistment on the State Portal for Artisans. - Facilitation for formation of Industrial Cooperative Society. - Facilitation for obtaining statutory requirements.,State/ UT,Business Entrepreneurship,"Artisans,  Facilitation Support","West Bengal Artisans Financial Benefit Scheme Facilitation Supports - Facilitation for enlistment on the State Portal for Artisans. - Facilitation for formation of Industrial Cooperative Society. - Facilitation for obtaining statutory requirements. Business Entrepreneurship Artisans,  Facilitation Support"
