scheme_name,benefits,level,category,tags,combined
Swatantrata Sainik Samman Pension Scheme,"Category of Freedom Fighters Ex-Andaman Political/ Prisoners/ Spouses Basic Pension w.e.f. 15.08.2016 in Rupees Per Month 30,000/- Total Amount of Pension Including 3 DR in Rupees Per Month 30,900/- Category of Freedom Fighters Freedom Fighters Who Suffered Outside British India/Spouses Basic Pension w.e.f. 15.08.2016 in Rupees Per Month 28,000/- Total Amount of Pension Including 3 DR in Rupees Per Month 28,840/- Category of Freedom Fighters Other Freedom Fighters/ spouses including INA Basic Pension w.e.f. 15.08.2016 in Rupees Per Month 26,000/- Total Amount of Pension Including 3 DR in Rupees Per Month 26,780/- Category of Freedom Fighters Dependent parents/eligible daughters maximum 3 daughters at any point of time Basic Pension w.e.f. 15.08.2016 in Rupees Per Month 50 of the sum that would have been admissible to the Freedom Fighter i.e. in the range of 13,000/- to 15,000/- Total Amount of Peing 3 DR in Rupees Per Month 50 of the sum that would have been admissible to the Freedom Fighter i.e. in the range of 13,390/- to ï",Central,"Banking,Financial Services and Insurance, Social welfare Empowerment","Freedom Fighter,  Pension,  Prisoner","Swatantrata Sainik Samman Pension Scheme Category of Freedom Fighters Ex-Andaman Political/ Prisoners/ Spouses Basic Pension w.e.f. 15.08.2016 in Rupees Per Month 30,000/- Total Amount of Pension Including 3 DR in Rupees Per Month 30,900/- Category of Freedom Fighters Freedom Fighters Who Suffered Outside British India/Spouses Basic Pension w.e.f. 15.08.2016 in Rupees Per Month 28,000/- Total Amount of Pension Including 3 DR in Rupees Per Month 28,840/- Category of Freedom Fighters Other Freedom Fighters/ spouses including INA Basic Pension w.e.f. 15.08.2016 in Rupees Per Month 26,000/- Total Amount of Pension Including 3 DR in Rupees Per Month 26,780/- Category of Freedom Fighters Dependent parents/eligible daughters maximum 3 daughters at any point of time Basic Pension w.e.f. 15.08.2016 in Rupees Per Month 50 of the sum that would have been admissible to the Freedom Fighter i.e. in the range of 13,000/- to 15,000/- Total Amount of Peing 3 DR in Rupees Per Month 50 of the sum that would have been admissible to the Freedom Fighter i.e. in the range of 13,390/- to ï Banking,Financial Services and Insurance, Social welfare Empowerment Freedom Fighter,  Pension,  Prisoner"
Gaon Ki Beti,- Assistance up to ₹ 5000/- is provided annually to the girl student.,State,"Education Learning, Women and Child","Financial Assistance,  Higher Education,  Scholarship","Gaon Ki Beti - Assistance up to ₹ 5000/- is provided annually to the girl student. Education Learning, Women and Child Financial Assistance,  Higher Education,  Scholarship"
Safai Karmakar Ke Bachche Hetu Chhatravrtti Yojana,"- Financial assistance provided according to the below table ClassesBoy Student Annual Scholarship amount Girl Student Annual Scholarship amount Class I to V 1,000/- 1,500/-Class VI to VIII 1,5000/- 2,000/-Class IX to XII 2,000/- 3,000/-Graduation BSc, B.Com, Diploma etc 5,000/- 6,000/-Post-Graduation MA, MSc, M.Com 7,000/- 8,000/-Pursuing graduate level professional course 10,000/- 11,000/-Studying for prof",State,Education Learning,"Financial Assistance,  Scholarship,  Student Finance","Safai Karmakar Ke Bachche Hetu Chhatravrtti Yojana - Financial assistance provided according to the below table ClassesBoy Student Annual Scholarship amount Girl Student Annual Scholarship amount Class I to V 1,000/- 1,500/-Class VI to VIII 1,5000/- 2,000/-Class IX to XII 2,000/- 3,000/-Graduation BSc, B.Com, Diploma etc 5,000/- 6,000/-Post-Graduation MA, MSc, M.Com 7,000/- 8,000/-Pursuing graduate level professional course 10,000/- 11,000/-Studying for prof Education Learning Financial Assistance,  Scholarship,  Student Finance"
Prabhuddha Overseas Scholarship,nan,State,Education Learning,"Overseas,  Scheduled Castes,  Scheduled Tribes,  Scholarship","Prabhuddha Overseas Scholarship nan Education Learning Overseas,  Scheduled Castes,  Scheduled Tribes,  Scholarship"
Promotion of Literature on Art Culture of Local Authors/ Organization,"Nature and Quantum of Assistance 1. The entire expenditure on printing and publishing the book is borne by the Government by keeping the copyright of the publication. 1. Every year two year or more books are published depending upon the availability of funds. 1. About 1,000 copies are printed and supplied to Educational institutions, libraries, Cultural Institutions etc. 1. The authors are paid an honorarium.",State,Sports Culture,"Author,  Book,  Culture,  Literature,  Publisher","Promotion of Literature on Art Culture of Local Authors/ Organization Nature and Quantum of Assistance 1. The entire expenditure on printing and publishing the book is borne by the Government by keeping the copyright of the publication. 1. Every year two year or more books are published depending upon the availability of funds. 1. About 1,000 copies are printed and supplied to Educational institutions, libraries, Cultural Institutions etc. 1. The authors are paid an honorarium. Sports Culture Author,  Book,  Culture,  Literature,  Publisher"
Mahatma Jyothiba Phule Overseas Vidya Nidhi for BC and EBC Students,1. Fees Fees shall be payable in two installments as follows Instalment-I An amount of 10.00 Lakhs shall be payable to the Institution/students upon production of the landing permit /I-94 card Immigration Card /VISA Stamping/Boarding pass. Instalment-II An amount of 10.00 Lakhs shall be payable to the Institution/students upon production of the 1st Semester results. 2. Sanction Proceedings specifying the amount of 20.00 Lakhs will be issued to the individual towards fees and living expenses by way of a grant subject to his/her joining into the Course to the Candidates selected by the Selection Committee. The sanction proceedings can be used by the Candidates to obtain a Visa from the respective Embassy. 3. The Student shall be eligible for an educational loan of 10.00 lakhs from any Nationalized bank at prevailing rates of interest. 4. The awardees are permitted to supplement their prescribed allowances by undertaking Research/Teaching Assistance ship. 5. One-ware by economy class through the shortest route shall be payable upon production of valid visa and admission particulars. 6. The total visa fees shall be reimbursed to the student upon production of a valid visa and production of receipts.,State,Education Learning,"Backward Class,  Economically Backward Class,  Foreign University,  Higher Study,  Scholarship,  Student,  Vidya Nidhi","Mahatma Jyothiba Phule Overseas Vidya Nidhi for BC and EBC Students 1. Fees Fees shall be payable in two installments as follows Instalment-I An amount of 10.00 Lakhs shall be payable to the Institution/students upon production of the landing permit /I-94 card Immigration Card /VISA Stamping/Boarding pass. Instalment-II An amount of 10.00 Lakhs shall be payable to the Institution/students upon production of the 1st Semester results. 2. Sanction Proceedings specifying the amount of 20.00 Lakhs will be issued to the individual towards fees and living expenses by way of a grant subject to his/her joining into the Course to the Candidates selected by the Selection Committee. The sanction proceedings can be used by the Candidates to obtain a Visa from the respective Embassy. 3. The Student shall be eligible for an educational loan of 10.00 lakhs from any Nationalized bank at prevailing rates of interest. 4. The awardees are permitted to supplement their prescribed allowances by undertaking Research/Teaching Assistance ship. 5. One-ware by economy class through the shortest route shall be payable upon production of valid visa and admission particulars. 6. The total visa fees shall be reimbursed to the student upon production of a valid visa and production of receipts. Education Learning Backward Class,  Economically Backward Class,  Foreign University,  Higher Study,  Scholarship,  Student,  Vidya Nidhi"
Scheme to Provide Grant to the Institutions for Long Term Project in the Field of Art and Culture Sarjansheel Goa,"A grant to the extent of 80 of the total expenditure involved is subject to a maximum ceiling of 5,00,000 per annum. Number of Beneficiaries The Department/Government may restrict the number of institutions/individuals according to the availability of f",State,Sports Culture,"Culture,  Grant,  Project","Scheme to Provide Grant to the Institutions for Long Term Project in the Field of Art and Culture Sarjansheel Goa A grant to the extent of 80 of the total expenditure involved is subject to a maximum ceiling of 5,00,000 per annum. Number of Beneficiaries The Department/Government may restrict the number of institutions/individuals according to the availability of f Sports Culture Culture,  Grant,  Project"
Griha Aadhar Scheme,"Financial Assistance of 1,500/- per m",State,"Social welfare Empowerment, Women and Child","Financial Assistance,  Marriage,  Social Welfare","Griha Aadhar Scheme Financial Assistance of 1,500/- per m Social welfare Empowerment, Women and Child Financial Assistance,  Marriage,  Social Welfare"
Overseas Scholarships For Scheduled Tribes-Madhya Pradesh,- Scholarship for Higher Education.,State,Education Learning,nan,Overseas Scholarships For Scheduled Tribes-Madhya Pradesh - Scholarship for Higher Education. Education Learning nan
Mukhyamantri Nirmaan Majadur suraksha upakaran sahaayata yojana,"The said material helmets, footwear, gloves, safety jackets, and masks will be purchased by the beneficiary at his own expense, as per the rate fixed by CSIDC or ₹ 1,500/- whichever is less. The beneficiary will be responsible for procuring the mentioned materials at their own cost. Once obtained, the Board will provide the reimbursement upon receipt of an application and the corresponding invoice.",State,Social welfare Empowerment,"Financial Assistance,  Safely Equipment,  Social Welfare","Mukhyamantri Nirmaan Majadur suraksha upakaran sahaayata yojana The said material helmets, footwear, gloves, safety jackets, and masks will be purchased by the beneficiary at his own expense, as per the rate fixed by CSIDC or ₹ 1,500/- whichever is less. The beneficiary will be responsible for procuring the mentioned materials at their own cost. Once obtained, the Board will provide the reimbursement upon receipt of an application and the corresponding invoice. Social welfare Empowerment Financial Assistance,  Safely Equipment,  Social Welfare"
Development Support for Coffee in Traditional Areas Support to Small Growers Collectives/ SHGs/ Cooperatives for Coffee Marketing,Scale of Subsidy 4.00 per kg of Clean Co,Central,"Agriculture,Rural Environment","Agriculture,  Coffee,  DBT,  Farmer,  Subsidy","Development Support for Coffee in Traditional Areas Support to Small Growers Collectives/ SHGs/ Cooperatives for Coffee Marketing Scale of Subsidy 4.00 per kg of Clean Co Agriculture,Rural Environment Agriculture,  Coffee,  DBT,  Farmer,  Subsidy"
TEC Internship Scheme,"Token Amount The interns will be paid a token amount of 15,000/- per month. Certificate The Interns will be issued a Certificate https //www.tec.gov.in/pdf/Vacancy/TEC 20internship 20scheme 20and 20corrigendum.pdf at the end of the intern",Central,"Science, IT Communications, Education Learning","Graduation,  Internship,  Postgraduation,  Research,  Student,  Telecommunication","TEC Internship Scheme Token Amount The interns will be paid a token amount of 15,000/- per month. Certificate The Interns will be issued a Certificate https //www.tec.gov.in/pdf/Vacancy/TEC 20internship 20scheme 20and 20corrigendum.pdf at the end of the intern Science, IT Communications, Education Learning Graduation,  Internship,  Postgraduation,  Research,  Student,  Telecommunication"
Border Areas Development Department,nan,State,Transport Infrastructure,nan,Border Areas Development Department nan Transport Infrastructure nan
RKVY Soil Health and Fertility - Soil Health Card,"The scheme targets to provide following benefits 1 Provide free / affordable access to soil test 2 Provide farmers with timely and accurate soil analysis results 3 Facilitate customized soil nutrient recommendations based on test results 4 Enable farmers to optimize their fertiliser use and minimise input costs, and hence avoid under- or over- application of fertiliser",Central,"Agriculture,Rural Environment","Farmer,  INM,  RKVY,  Soil Health,  Soil Testing","RKVY Soil Health and Fertility - Soil Health Card The scheme targets to provide following benefits 1 Provide free / affordable access to soil test 2 Provide farmers with timely and accurate soil analysis results 3 Facilitate customized soil nutrient recommendations based on test results 4 Enable farmers to optimize their fertiliser use and minimise input costs, and hence avoid under- or over- application of fertiliser Agriculture,Rural Environment Farmer,  INM,  RKVY,  Soil Health,  Soil Testing"
Chief Minister Ladli Behna Yojana,"- An amount of ₹1000/- per month will be paid to each eligible woman in her eligibility period in the own Aadhaar linked DBT enabled bank account. - If a woman is below the age of 60 years and already receiving less than ₹ 1000/- per month under any other Social Security Pension Scheme, then that woman will be reimbursed up to ₹ 1000/-.",State,"Social welfare Empowerment, Women and Child","Empowerment,  Financial Assistance,  Social Welfare","Chief Minister Ladli Behna Yojana - An amount of ₹1000/- per month will be paid to each eligible woman in her eligibility period in the own Aadhaar linked DBT enabled bank account. - If a woman is below the age of 60 years and already receiving less than ₹ 1000/- per month under any other Social Security Pension Scheme, then that woman will be reimbursed up to ₹ 1000/-. Social welfare Empowerment, Women and Child Empowerment,  Financial Assistance,  Social Welfare"
Kerala Biotechnology Re-Entry Fellowship,"1. Fellow entitled for a monthly remuneration of 1,00,000/- and 18,500/- as HRA per month. 1. Annual research /contingency grant of 7.5 lakh each for the first and second year and 5 lakh each for the subsequent 3 years. 1. Host Institution may provide medical benefits, transport allowance, and other benefits as per the prevailing norms applicable to their employees of the equivalent rank out of their",State,Education Learning,"Biotechnology,  Fellow,  Fellowship,  Research,  Researcher","Kerala Biotechnology Re-Entry Fellowship 1. Fellow entitled for a monthly remuneration of 1,00,000/- and 18,500/- as HRA per month. 1. Annual research /contingency grant of 7.5 lakh each for the first and second year and 5 lakh each for the subsequent 3 years. 1. Host Institution may provide medical benefits, transport allowance, and other benefits as per the prevailing norms applicable to their employees of the equivalent rank out of their Education Learning Biotechnology,  Fellow,  Fellowship,  Research,  Researcher"
Computer Training Scheme,"Course Details S. No. Training Name DurationFee1For O computer training1 monthA maximum upto ₹ 15,000/- per trainee In three phases 2For CCC computer training3 monthsA maximum upto ₹ 3",State,"Social welfare Empowerment, Education Learning","Education,  Training,  Unemployment,  Youth Empowerment","Computer Training Scheme Course Details S. No. Training Name DurationFee1For O computer training1 monthA maximum upto ₹ 15,000/- per trainee In three phases 2For CCC computer training3 monthsA maximum upto ₹ 3 Social welfare Empowerment, Education Learning Education,  Training,  Unemployment,  Youth Empowerment"
Snehapoorvam Scheme,Sl. No. Class/Degree/Course Amount of Assistance 1Children below 5 years and Class I to V 300/- per month2Class VI to Class X 500/- per month3Class XI and Class XII 750/- per month4Degree Courses / Professional Degree ï,State,"Education Learning, Social welfare Empowerment","APL,  BPL,  Children,  Financial Assistance,  Orphan,  School,  Student","Snehapoorvam Scheme Sl. No. Class/Degree/Course Amount of Assistance 1Children below 5 years and Class I to V 300/- per month2Class VI to Class X 500/- per month3Class XI and Class XII 750/- per month4Degree Courses / Professional Degree ï Education Learning, Social welfare Empowerment APL,  BPL,  Children,  Financial Assistance,  Orphan,  School,  Student"
Financial Assistance for Registered Fishermen Society,"Financial assistance to the extent of 50,000 as a grant-in",State,"Agriculture,Rural Environment","Financial Assistance,  Fish,  Fishermen,  Grant,  Society","Financial Assistance for Registered Fishermen Society Financial assistance to the extent of 50,000 as a grant-in Agriculture,Rural Environment Financial Assistance,  Fish,  Fishermen,  Grant,  Society"
Durghatana Mein Chikitsa Sahaayata Yojana,"- To the registered beneficiaries, medical assistance of 20,000/- or the actual expenditure incurred on the treatment, whichever is less, will be provi",State,Health Wellness,"Accident,  Financial Assistance,  Labor Workers","Durghatana Mein Chikitsa Sahaayata Yojana - To the registered beneficiaries, medical assistance of 20,000/- or the actual expenditure incurred on the treatment, whichever is less, will be provi Health Wellness Accident,  Financial Assistance,  Labor Workers"
Kerala Stressed MSMEs Revival Rehabilitation Scheme,"1. Entitlement in the scheme shall be limited to an amount of 5 lakhs per applicant unit to be availed as one-time assistance only. 2. Assistance/Relief Available from Government a Restructuring of existing loan account If the bank is willing to restructure the existing loan account and extend additional term loan/working capital loan based on the Revival Project recommendations of the Expert Committee, the unit is eligible for the following one-time Assistance. These assistances are also eligible for self-financed units availing term loan/working capital loan as part of the Revival Package recommended by the Expert Committee. - Margin Money Grant 50 of the margin insisted by the bank/Financial Institution towards additional working capital loan and term loan, will be payable as Grant Assistance limited to 2 lakhs. - Interest Subvention Assistance To provide financial assistance in the form of interest subvention on a reimbursement basis for the additional term loan an working capital loan availed by the units based on the Revival Project Report recommended by the expert committee. The interest subvention is 6 per annum subject to a maximum amount of 1 lakh. The interest subvention is limited to one first year on the loan sanctioned by the financial institution/bank. b Restart Expenses The following one-time assistance shall be payable as restart expenses based on the Revival Project recommendations of the Expert Committee. - In cases where no term loan is availed for the purchase of brand new additional/balancing plant machinery, 50 of the cost of Additional/Balancing Plant and Machinery limited to 1.50 lakhs will be payable as one-time assistance. - 50 of the cost incurred for the inevitable repair and maintenance of the existing Plant and Machinery and Building limited to 1.00 lakh will be reimbursed. c Clearance of Statutory Dues If there are statutory dues existing for the unit related to the agencies like Kl Tax, Excise, Pollution Control Board, etc. 50 of the dues limited to 40,000 shall be payable as one-time assistance based on the Revival Project recommendations of the Expert Committee. d Cost of Revival Project Report - Cost of preparation of RPR will be reimbursed 100 , 10,000/- per unit. - The maximum assistance admissible for each unit, all reliefs and assistances put together, under the scheme will be limited to ï",State,Business Entrepreneurship,"Closed Unit,  MSME,  Rehabilitation,  Revival,  Sick Unit,  Stressed","Kerala Stressed MSMEs Revival Rehabilitation Scheme 1. Entitlement in the scheme shall be limited to an amount of 5 lakhs per applicant unit to be availed as one-time assistance only. 2. Assistance/Relief Available from Government a Restructuring of existing loan account If the bank is willing to restructure the existing loan account and extend additional term loan/working capital loan based on the Revival Project recommendations of the Expert Committee, the unit is eligible for the following one-time Assistance. These assistances are also eligible for self-financed units availing term loan/working capital loan as part of the Revival Package recommended by the Expert Committee. - Margin Money Grant 50 of the margin insisted by the bank/Financial Institution towards additional working capital loan and term loan, will be payable as Grant Assistance limited to 2 lakhs. - Interest Subvention Assistance To provide financial assistance in the form of interest subvention on a reimbursement basis for the additional term loan an working capital loan availed by the units based on the Revival Project Report recommended by the expert committee. The interest subvention is 6 per annum subject to a maximum amount of 1 lakh. The interest subvention is limited to one first year on the loan sanctioned by the financial institution/bank. b Restart Expenses The following one-time assistance shall be payable as restart expenses based on the Revival Project recommendations of the Expert Committee. - In cases where no term loan is availed for the purchase of brand new additional/balancing plant machinery, 50 of the cost of Additional/Balancing Plant and Machinery limited to 1.50 lakhs will be payable as one-time assistance. - 50 of the cost incurred for the inevitable repair and maintenance of the existing Plant and Machinery and Building limited to 1.00 lakh will be reimbursed. c Clearance of Statutory Dues If there are statutory dues existing for the unit related to the agencies like Kl Tax, Excise, Pollution Control Board, etc. 50 of the dues limited to 40,000 shall be payable as one-time assistance based on the Revival Project recommendations of the Expert Committee. d Cost of Revival Project Report - Cost of preparation of RPR will be reimbursed 100 , 10,000/- per unit. - The maximum assistance admissible for each unit, all reliefs and assistances put together, under the scheme will be limited to ï Business Entrepreneurship Closed Unit,  MSME,  Rehabilitation,  Revival,  Sick Unit,  Stressed"
Bihar Rajya Fasal Sahayata Yojna,"1. In case of a reduction in the actual yield rate by 20 as compared to the threshold yield rate, total assistance of ₹ 15,000 is estimated at the rate of ₹ 7,500 per hectare up to a maximum of two 02 hectares. 1. In the event of more than a 20 reduction in the actual yield rate as compared to the threshold yield rate, total assistance of ₹ 20,000 is estimated at the rate of ₹ 10,000 per hectare up to a maximum of two 02 hectares.",State,"Agriculture,Rural Environment","Crop Assistance,  Farmer Welfare,  Financial Assistance,  Natural Disaster","Bihar Rajya Fasal Sahayata Yojna 1. In case of a reduction in the actual yield rate by 20 as compared to the threshold yield rate, total assistance of ₹ 15,000 is estimated at the rate of ₹ 7,500 per hectare up to a maximum of two 02 hectares. 1. In the event of more than a 20 reduction in the actual yield rate as compared to the threshold yield rate, total assistance of ₹ 20,000 is estimated at the rate of ₹ 10,000 per hectare up to a maximum of two 02 hectares. Agriculture,Rural Environment Crop Assistance,  Farmer Welfare,  Financial Assistance,  Natural Disaster"
Meritorious Scholarships To Vjnt And Sbc Students Studying In Secondary Schools,1. The students will get 200/- for 5th to 7th standard per annum. 1. The students will get 400/- for 8th to 10th standard,State,Social welfare Empowerment,"Scholarship,  Special Backward Class,  Students,  Vimukta Jati And Nomadic Tribes","Meritorious Scholarships To Vjnt And Sbc Students Studying In Secondary Schools 1. The students will get 200/- for 5th to 7th standard per annum. 1. The students will get 400/- for 8th to 10th standard Social welfare Empowerment Scholarship,  Special Backward Class,  Students,  Vimukta Jati And Nomadic Tribes"
Financial Assistance To Inter-Caste Married Couples Except SC/ST Category,"1. Under the scheme, a one-time financial assistance of 30,000/- will be given to inter-caste married coup",State,Social welfare Empowerment,"Couples,  Financial Assistance,  Inter-Caste,  Legally Married,  Marriage","Financial Assistance To Inter-Caste Married Couples Except SC/ST Category 1. Under the scheme, a one-time financial assistance of 30,000/- will be given to inter-caste married coup Social welfare Empowerment Couples,  Financial Assistance,  Inter-Caste,  Legally Married,  Marriage"
Baristha Nagarika Tirtha Yatra Yojana,"1. The scheme offers a great opportunity to the poor and deprived senior citizens 60-75 years of the State to the realization of their lifelong dream of having one Tirtha Darshan Pilgrimage and fulfill their spiritual aspirations, with the support of the state. 1. This scheme will be offered to people of all regions/faiths. 1. The scheme is envisaged to help senior citizens over 60-75 years of age to undertake pilgrimage with Government assistance. Facilities for pilgrims 1. The district administration will make arrangements for transportation of the selected pilgrims including their attendants to district HQ and further to the Starting Point i.e. originating railway station or directly from home to the starting point and also on the return journey from the Starting Point back to their homes. 1. Arrangements for stay and food for the pilgrims coming from various districts on the day previous to the actual departure will be done by the distre Starting Point i.e. originating station. 1. Vegetarian Meals, Breakfast, Tea Snacks with Drinking Water throughout the journey, Road transport, Accommodation in nearby destinations, Tour escorts, tour guides, travel insurance, and medical facilities with professional physicians shall be provided by IRCTC. 1. The tentative food menu to be provided at the starting point by the Tourism Department as well as during the journey by IRCTC are as follows Break Fast-8-9 AM- Upama Dalma/ Puri Veg. Mix. Curry/Idlee, Sambar, and Tea Water, b Lunch- 12 Noon-2 PM- Veg.-Rice/Roti, Dal, one Curry, one Veg. Fry, Khata, Water, c Tea Biscuits- 4-5 PM, d Dinner- 7-9 PM- Veg.-Rice/ Roti, Dal, Veg. Curry Water. 1. The travel kit shall be provided by IRCTC to the pilgrims within a cost as per the MOU signed between the state Govt. IRCTC for each year. The kit shall contain a toothbrush, toothpaste, coconut oil, shampoo, bathinwashing soap, bedsheet, blanket, cap, towel, hand napkin, comb, mirror, identity card a bag. The bag shall be properly branded with the Odisha Tourism logo. 1. If pilgrims desire to avail of any facility other than that prescribed by the Government during the journey, then they will have to make payment for the same. Tourism Dept. / IRCTC cannot take responsibility for the extra services desired by the pilgrims.",State/ UT,"Social welfare Empowerment, Travel Tourism","Baristha Nagarika,  Pilgrim,  Senior Citizen,  Tirtha Darshan,  Tirtha Yatra,  Tourism","Baristha Nagarika Tirtha Yatra Yojana 1. The scheme offers a great opportunity to the poor and deprived senior citizens 60-75 years of the State to the realization of their lifelong dream of having one Tirtha Darshan Pilgrimage and fulfill their spiritual aspirations, with the support of the state. 1. This scheme will be offered to people of all regions/faiths. 1. The scheme is envisaged to help senior citizens over 60-75 years of age to undertake pilgrimage with Government assistance. Facilities for pilgrims 1. The district administration will make arrangements for transportation of the selected pilgrims including their attendants to district HQ and further to the Starting Point i.e. originating railway station or directly from home to the starting point and also on the return journey from the Starting Point back to their homes. 1. Arrangements for stay and food for the pilgrims coming from various districts on the day previous to the actual departure will be done by the distre Starting Point i.e. originating station. 1. Vegetarian Meals, Breakfast, Tea Snacks with Drinking Water throughout the journey, Road transport, Accommodation in nearby destinations, Tour escorts, tour guides, travel insurance, and medical facilities with professional physicians shall be provided by IRCTC. 1. The tentative food menu to be provided at the starting point by the Tourism Department as well as during the journey by IRCTC are as follows Break Fast-8-9 AM- Upama Dalma/ Puri Veg. Mix. Curry/Idlee, Sambar, and Tea Water, b Lunch- 12 Noon-2 PM- Veg.-Rice/Roti, Dal, one Curry, one Veg. Fry, Khata, Water, c Tea Biscuits- 4-5 PM, d Dinner- 7-9 PM- Veg.-Rice/ Roti, Dal, Veg. Curry Water. 1. The travel kit shall be provided by IRCTC to the pilgrims within a cost as per the MOU signed between the state Govt. IRCTC for each year. The kit shall contain a toothbrush, toothpaste, coconut oil, shampoo, bathinwashing soap, bedsheet, blanket, cap, towel, hand napkin, comb, mirror, identity card a bag. The bag shall be properly branded with the Odisha Tourism logo. 1. If pilgrims desire to avail of any facility other than that prescribed by the Government during the journey, then they will have to make payment for the same. Tourism Dept. / IRCTC cannot take responsibility for the extra services desired by the pilgrims. Social welfare Empowerment, Travel Tourism Baristha Nagarika,  Pilgrim,  Senior Citizen,  Tirtha Darshan,  Tirtha Yatra,  Tourism"
Kabir Puraskar Scheme,"1. Amount of Award Sl. No. Grade Amount of Award 1Grade I 2,00,000 Rupees two lakh only 2Grade II 1,00,000 Rupees one lakh only 3Grade III 50,000 Rupees fifty thousand only 2. A certificate with a suitable citation shall also be awarded to the recipients. Note 01 The cash Award is non recurring. There shall be no bar on a person receiving such Award for a second time on a subsequent occasion. Note 02 The names of those persons upon whom such Award is conferred shall be published in the official gazette Note 03 The criteria for three grades of Award are as under Grade I For most conspicuous acts of physical/moral courage displayed under circumstances of very grave danger to the life of the rescuer or an act resulting in death or the permanent incapacitation of the rescuer/his or her family member s in saving life and property of member s of another community, caste or ethnic group. Grade II omptitude under circumstances of danger to the life of the rescuer resulting in bodily injury in saving the life and property of member s of another community, caste, or ethnic group. Grade III For acts of physical/moral courage and promptitude in saving the life and property of member s of another community, caste, or ethnic gro",Central,Social welfare Empowerment,"Award,  Cash,  Certificate","Kabir Puraskar Scheme 1. Amount of Award Sl. No. Grade Amount of Award 1Grade I 2,00,000 Rupees two lakh only 2Grade II 1,00,000 Rupees one lakh only 3Grade III 50,000 Rupees fifty thousand only 2. A certificate with a suitable citation shall also be awarded to the recipients. Note 01 The cash Award is non recurring. There shall be no bar on a person receiving such Award for a second time on a subsequent occasion. Note 02 The names of those persons upon whom such Award is conferred shall be published in the official gazette Note 03 The criteria for three grades of Award are as under Grade I For most conspicuous acts of physical/moral courage displayed under circumstances of very grave danger to the life of the rescuer or an act resulting in death or the permanent incapacitation of the rescuer/his or her family member s in saving life and property of member s of another community, caste or ethnic group. Grade II omptitude under circumstances of danger to the life of the rescuer resulting in bodily injury in saving the life and property of member s of another community, caste, or ethnic group. Grade III For acts of physical/moral courage and promptitude in saving the life and property of member s of another community, caste, or ethnic gro Social welfare Empowerment Award,  Cash,  Certificate"
Integrated Scheme for Export Promotion Quality Improvement in Spices and Research and Development of Cardamom Export Oriented Production Large Cardamom Certified Nursery Unit,"- 33.33 of the cost of production of planting material subject to a maximum of 3 per seedling for the General Category. - 75 of the cost of production of planting material 6.75 per seedling for SC/ST. Time of Payment Payment of subsidy will be in the succeeding year of planting the mother suckers/ seeds for multiplication in the nursery and satisfactory production of suckers/seedlings. Mode of Payment Eligible assistance will be paid to beneficiaries through Direct Benefit Transfer DBT , except for specific cases like QGBG, weather-based insurance for cardamom small , and distribution of polyth",Central,"Agriculture,Rural Environment, Business Entrepreneurship","Agriculture,  DBT,  Export,  Farmer,  Nursery,  Subsidy","Integrated Scheme for Export Promotion Quality Improvement in Spices and Research and Development of Cardamom Export Oriented Production Large Cardamom Certified Nursery Unit - 33.33 of the cost of production of planting material subject to a maximum of 3 per seedling for the General Category. - 75 of the cost of production of planting material 6.75 per seedling for SC/ST. Time of Payment Payment of subsidy will be in the succeeding year of planting the mother suckers/ seeds for multiplication in the nursery and satisfactory production of suckers/seedlings. Mode of Payment Eligible assistance will be paid to beneficiaries through Direct Benefit Transfer DBT , except for specific cases like QGBG, weather-based insurance for cardamom small , and distribution of polyth Agriculture,Rural Environment, Business Entrepreneurship Agriculture,  DBT,  Export,  Farmer,  Nursery,  Subsidy"
Mukhyamantri Kisaan Kalyaan Yojana,"- Farmers will be given ₹4,000/- annually in two installments of ₹2,000 each.",State,"Agriculture,Rural Environment",nan,"Mukhyamantri Kisaan Kalyaan Yojana - Farmers will be given ₹4,000/- annually in two installments of ₹2,000 each. Agriculture,Rural Environment nan"
"Theka Shramik, Gharelu Mahila Kamgar Evan Hamal Shramik Prasuti Sahayta Yojana","- Female employees will receive a financial assistance of 4,200 in the third month of pregnancy and 2,800 in the eighth month of pregnancy as maternity benefit. - Male employees will receive a financial assistance of 3,000 as paternity leave after the bir",State,"Health Wellness, Women and Child","Financial Assistance,  Health,  Pregnancy Care","Theka Shramik, Gharelu Mahila Kamgar Evan Hamal Shramik Prasuti Sahayta Yojana - Female employees will receive a financial assistance of 4,200 in the third month of pregnancy and 2,800 in the eighth month of pregnancy as maternity benefit. - Male employees will receive a financial assistance of 3,000 as paternity leave after the bir Health Wellness, Women and Child Financial Assistance,  Health,  Pregnancy Care"
